symbol,direction,open_price,close_price,stop_loss,take_profit,volume,open_time,close_time,pnl,confidence,bars_held,status
USDJPY,sell,151.739,152.279,152.239,150.739,0.39,2024-11-04 05:00:00,2024-11-05 01:00:00,-0.2105999999999969,0.78,20,stopped
USDJPY,sell,151.789,152.385,152.289,150.789,0.39,2024-11-04 03:00:00,2024-11-05 05:00:00,-0.23244000000000142,0.71,26,stopped
USDJPY,sell,151.813,152.385,152.313,150.813,0.39,2024-11-04 04:00:00,2024-11-05 05:00:00,-0.22308000000000106,0.8,25,stopped
USDJPY,sell,151.817,152.385,152.317,150.817,0.39,2024-11-04 06:00:00,2024-11-05 05:00:00,-0.2215199999999936,0.75,23,stopped
USDJPY,sell,151.85,152.385,152.35,150.85,0.39,2024-11-04 07:00:00,2024-11-05 05:00:00,-0.20864999999999867,0.85,22,stopped
GBPUSD,sell,1.29526,1.30109,1.30026,1.28526,0.25,2024-11-04 01:00:00,2024-11-05 16:00:00,-0.0014575000000000005,0.86,39,stopped
GBPUSD,sell,1.29618,1.3014299999999999,1.30118,1.28618,0.25,2024-11-04 02:00:00,2024-11-05 18:00:00,-0.0013124999999999387,0.74,40,stopped
EURUSD,sell,1.08727,1.09303,1.0922699999999999,1.07727,0.25,2024-11-04 01:00:00,2024-11-05 19:00:00,-0.0014399999999999968,0.73,42,stopped
EURUSD,sell,1.08771,1.09303,1.0927099999999998,1.07771,0.25,2024-11-04 02:00:00,2024-11-05 19:00:00,-0.0013299999999999979,0.9,41,stopped
GBPUSD,sell,1.29749,1.30334,1.30249,1.28749,0.25,2024-11-04 03:00:00,2024-11-05 19:00:00,-0.0014624999999999777,0.71,40,stopped
GBPUSD,sell,1.29805,1.30334,1.3030499999999998,1.28805,0.25,2024-11-04 04:00:00,2024-11-05 19:00:00,-0.0013225000000000042,0.81,39,stopped
GBPUSD,sell,1.29697,1.30334,1.3019699999999998,1.28697,0.25,2024-11-04 09:00:00,2024-11-05 19:00:00,-0.0015924999999999967,0.72,34,stopped
EURUSD,sell,1.0873599999999999,1.09303,1.0923599999999998,1.0773599999999999,0.25,2024-11-05 01:00:00,2024-11-05 19:00:00,-0.001417500000000016,0.61,18,stopped
EURUSD,sell,1.08757,1.09303,1.0925699999999998,1.07757,0.25,2024-11-05 05:00:00,2024-11-05 19:00:00,-0.001365000000000005,0.67,14,stopped
AUDUSD,sell,0.65848,0.66349,0.66348,0.64848,0.25,2024-11-05 05:00:00,2024-11-05 21:00:00,-0.0012525000000000175,0.67,16,stopped
GBPUSD,sell,1.29892,1.30423,1.30392,1.28892,0.25,2024-11-04 06:00:00,2024-11-05 23:00:00,-0.0013274999999999815,0.68,41,stopped
GBPUSD,sell,1.2988,1.30423,1.3037999999999998,1.2888,0.25,2024-11-04 08:00:00,2024-11-05 23:00:00,-0.0013575000000000115,0.67,39,stopped
AUDUSD,sell,0.65889,0.66404,0.66389,0.64889,0.25,2024-11-04 10:00:00,2024-11-06 01:00:00,-0.001287499999999997,0.67,39,stopped
USDJPY,sell,152.29,152.919,152.79,151.29,0.39,2024-11-04 01:00:00,2024-11-06 02:00:00,-0.24531000000000747,0.75,49,stopped
